ticker,isin,localcurrency,localprice,convertedprice,currencyfactor
"4188 JP Equity",JP3897700005,JPY,590.4,4.93728048169,119.580000
"3407 JP Equity",JP3111200006,JPY,1099.5,9.19468138485,119.580000
"3402 JP Equity",JP3621000003,JPY,959,8.01973574176,119.580000
"DSM NA Equity",NL0000009827,EUR,48.99,58.4745762712,.837800
"YAR NO Equity",NO0010208051,NOK,339.5,44.5245901639,7.625000
"051910 KS Equity",KR7051910008,KRW,174500,157.251124188,1109.690000
"1326 TT Equity",TW0001326007,TWD,66,2.06404803603,31.976000
"1301 TT Equity",TW0001301000,TWD,71.5,2.23605203903,31.976000
"1303 TT Equity",TW0001303006,TWD,63.9,1.99837378034,31.976000
"FMG AU Equity",AU000000FMG4,AUD,2.82,2.28099975734,1.236300
"CCO CN Equity",CA13321L1085,CAD,18.69,15.9104452201,1.174700
"FM CN Equity",CA3359341052,CAD,15.85,13.492806674,1.174700
"5713 JP Equity",JP3402600005,JPY,1786.5,14.9397892624,119.580000
"ORK NO Equity",NO0003733800,NOK,49.92,6.5468852459,7.625000
"NHY NO Equity",NO0005052605,NOK,41.2,5.40327868852,7.625000
"BOL SS Equity",SE0000869646,SEK,127.4,16.0848431286,7.920500
"ANTO LN Equity",GB0000456144,GBp,722,11.0128126907,.655600
"SCCO US Equity",US84265V1052,USD,27.04,27.04,1
"2002 TT Equity",TW0002002003,TWD,26.5,0.82874655992,31.976000
"MT NA Equity",LU0323134006,EUR,8.67,10.3485318692,.837800
"PUB FP Equity",FR0000130577,EUR,58.08,69.3244211029,.837800
"4324 JP Equity",JP3551520004,JPY,5060,42.3147683559,119.580000
"BHP AU Equity",AU000000BHP4,AUD,29.48,23.845344981,1.236300
"BLT LN Equity",GB0000566504,GBp,1316.5,20.0808419768,.655600
"VALE/P US Equity",US91912E2046,USD,6.89,6.89,1
"TCK/B CN Equity",CA8787422044,CAD,15.57,13.2544479442,1.174700
"GLEN LN Equity",JE00B4T3BW64,GBp,282.5,4.30902989628,.655600
